x	y	label
0.42660663	-7.3681264	</s>
1.7904817	-7.981662	in
0.43689087	-8.643707	for
-1.191357	-10.520657	that
-4.8380146	-21.24145	is
3.8858202	-8.477902	on
12.149951	-4.948427	##
26.111269	-57.80918	The
1.3120078	-8.522125	with
-18.084831	-46.370842	said
2.7451153	-16.500803	was
0.4874433	-8.590025	the
2.911804	-6.5936117	at
-1.774001	-17.189508	not
-0.6926928	-9.30913	as
-0.32121867	-11.220302	it
1.3719219	-15.473798	be
2.2232072	-7.831623	from
-0.873969	-7.8138547	by
2.564413	-16.853294	are
-2.1521766	-21.517193	I
2.0721579	-15.641109	have
3.4634466	-3.144956	he
-4.5812545	-22.62805	will
2.7342103	-15.848693	has
10.876837	-5.1080675	####
3.56032	-2.9983127	his
0.82198125	-10.055681	an
0.4333391	-9.838613	this
-3.0378203	-11.804696	or
-3.4476316	-8.124791	their
1.4882654	-1.1013639	who
-3.2291138	-8.376804	they
-0.24322508	-12.533431	but
-38.642353	-6.9484353	$
2.5945456	-16.012175	had
28.152586	-3.219121	year
2.6119876	-16.772636	were
-2.0669	-21.127789	we
2.3369029	-18.556229	more
-37.72697	-10.403085	###
8.216936	-9.891106	up
2.5041149	-15.931101	been
14.4844475	-37.100487	you
-2.4054582	-6.842219	its
0.3769147	-9.787623	one
1.2885522	-11.90231	about
-4.325692	-22.332014	would
-0.8581909	-7.6508784	which
8.286968	-10.350487	out
-4.6766577	-22.562838	can
26.122765	-56.9793	It
-3.9374988	-9.081552	all
-1.8363912	-9.106098	also
11.584785	-6.8519726	two
7.629099	-14.079518	after
8.8241	-13.007417	first
34.76618	-55.147564	He
-3.238023	-21.236584	do
3.7946467	-10.979822	time
2.3554626	-18.549574	than
4.903964	-12.695119	when
30.91719	-59.258297	We
7.667949	-11.693218	over
8.126263	-13.576245	last
-2.4597979	-6.61773	new
-5.856729	-8.916834	other
25.05772	12.57445	her
1.8921026	11.514651	people
7.986249	-10.640677	into
30.758682	-52.63451	In
-2.1282163	-21.029917	our
-1.1286724	-17.875801	there
25.677582	-58.251976	A
25.071203	12.613272	she
-4.398938	-22.395304	could
1.5772214	-11.790298	just
26.872099	-3.3013911	years
-7.1311173	-8.834582	some
-29.15384	40.97526	U.S.
11.797487	-6.847693	three
-38.264732	-8.221639	million
-3.1456146	-8.2474575	them
-9.470438	-19.138062	what
28.809017	-55.87797	But
-0.8680566	-13.312475	so
-1.4194375	-17.948748	no
-2.0076735	-15.937866	like
-0.9134202	-15.473398	if
-0.44710237	-11.201419	only
-39.790638	-9.071734	percent
24.126644	-33.3954	get
-3.642939	-21.980783	did
3.5838103	-2.983258	him
52.79271	6.508765	game
8.533914	-10.758927	back
-1.0840739	-13.291571	because
0.8666866	-10.634908	now
-39.68454	-10.667047	#.#
7.3514724	-13.944601	before
-35.03738	2.9382632	company
-1.741148	-17.50774	any
50.46952	11.796273	team
5.2497888	-9.618495	against
8.457584	-10.298491	off
26.088549	-57.12479	This
-5.193181	-17.969593	most
11.110059	-41.02716	made
7.2725253	-10.374945	through
11.1478	-40.943573	make
48.57615	-3.557676	second
-17.903862	24.177204	state
-8.824505	-16.339851	well
28.217405	-2.4872499	day
51.769234	8.961293	season
-17.777912	-46.507805	says
28.493992	-2.9988592	week
2.9362683	-7.701429	where
1.8180407	-9.004124	while
8.419006	-10.234154	down
1.7321993	-15.308683	being
-24.630678	27.461046	government
14.608258	-36.978695	your
53.353363	0.7308213	#-#
10.912052	9.379993	home
11.155055	-35.32388	going
29.15282	-48.5747	my
-0.07074618	-26.615704	good
31.066605	-59.367428	They
11.457087	-36.543064	're
-4.834335	-22.51811	should
-8.600499	-8.437919	many
0.7577204	-12.132882	way
-6.7829294	-8.366656	those
11.859142	-6.826345	four
8.788404	-14.393746	during
