x	y	label
-17.46143	5.363114	fail
-0.80853397	17.835978	staying
-25.035393	-42.72793	whispered
5.8812675	-50.233944	murderers
21.594774	35.400898	loft
6.0612035	11.676068	messengers
12.372443	37.896317	appointed
-5.119211	12.598536	accessed
-13.645658	-3.490302	charges
-2.641693	-51.575596	coals
-10.627743	36.074333	jug_
-4.0450907	41.250908	30
4.2874594	-44.223854	yes
9.52798	4.6299176	CONTENTS
0.5634139	40.81664	Rest
-0.22875184	49.33693	International
-4.3230286	13.096935	spilt
-25.170033	8.386911	hopping
-2.137832	10.317645	anxious
-5.1294355	17.50908	greeted
-4.545122	50.529633	scrape
-9.561088	49.775375	Am
6.864538	52.568634	sunk
20.183487	-47.80489	lighted
22.553125	-47.72656	flock
-18.789446	-6.3649163	reflected
-2.9337924	4.842157	Revenue
-5.015856	-49.799664	RUMPELSTILTSKIN
-21.964739	0.34176645	krr
-24.166262	-52.91004	claw
-21.334816	23.54578	clip
41.5481	-17.36622	caught
-3.4755096	6.5820785	punishment
16.560234	25.040102	TIMOTHY
11.534282	43.4354	nail
-22.280487	-41.213326	concerning
-1.3186499	-52.176735	Another
11.551032	-55.145184	offered
-0.39715213	1.4235224	lace
32.822723	-20.5688	sure
0.2338825	22.600128	tasting
3.9542873	28.95412	ware
55.830036	21.111376	some
-14.2732525	-38.9966	howl
13.037891	33.629845	delightfully
-1.2000793	-3.0374243	madman
-21.990614	-31.810474	four-footed
5.3756876	20.129677	match
-21.054384	-48.020866	whosoever
-32.801994	-7.6571083	human
-11.938015	-46.307278	UTF-8
-3.3545275	38.271797	DOG
-35.332844	-13.979343	supported
17.303143	-54.385433	meadow
3.286059	55.799355	shirt
16.247902	27.66924	increased
51.421295	18.559269	took
-14.654892	28.657146	gain
26.940498	-44.353725	ravens
-9.340668	-6.1291184	cross-roads
-3.876459	47.57111	delight
-8.415718	-6.6506934	knock
7.068681	61.78809	juiciest
20.776999	-47.49031	perched
-10.267475	-40.108265	likely
-1.9631284	40.20642	Accordingly
-29.71958	-14.045975	dwell
7.7404256	-49.143963	cord
-20.817429	-46.704063	14
-12.839569	58.027306	snips
-31.358093	-4.4265757	understanding
38.513264	-28.973969	deep
13.179654	40.24664	inquire
-28.488585	-44.735428	intellectual
-9.291262	40.063873	Aha
52.155674	1.5980089	whole
-31.779312	-35.735046	manner
-24.307905	-40.805412	based
-23.985456	-4.619771	hurrying
-9.056821	-2.8254938	eagle
-28.344515	-22.617632	sounding
-29.050234	-7.548259	thickly
-2.1744623	42.666206	leaned
-12.73775	-37.890533	weave
3.7471817	46.042793	cow-houses
23.329653	-36.163013	certainly
-33.605316	-28.059593	loveliest
-20.076818	-38.13275	steal
-0.04396576	63.68569	donkey
0.3999174	3.2077167	gorged
-12.1144285	39.092983	Despite
-12.8686075	-48.411266	HOOD
52.2962	14.821779	put
10.240089	38.387035	Top
-7.97135	-54.921085	fifty
-7.5796404	34.18513	mysterious
-8.171295	25.657557	swam
4.575584	-56.307064	glittered
-1.0954638	3.0628107	half-shut
-21.1215	-45.894123	readable
13.025708	19.465303	Strike
14.607286	14.720301	garland
1.2484338	31.186722	esteemed
51.852066	-1.3552223	both
3.7900095	59.204933	inns
7.1306305	7.746467	ashamed
-14.926181	16.79418	altar
11.206732	-54.02689	hick
-24.672972	-6.660882	amends
50.13554	-5.892006	glass
-7.3551273	-51.8923	fiddler
-32.76728	-25.909351	sea-water
-15.888273	47.37116	undressed
-16.1536	22.445534	sensibly
-12.529459	-6.061405	growling
3.5747185	-44.806343	Husband
4.3713336	57.9581	highway
32.593483	-21.831747	Why
5.5170813	22.67063	chattering
-28.10339	-37.210426	horn
-12.28393	14.571218	disk
-26.813704	5.59938	casket
-28.840069	-17.55305	sour
1.9882189	-59.50072	continually
-6.687999	52.948692	hobgoblin
-17.511557	-46.515526	spite
15.167602	34.13461	txt
15.721974	22.60301	tobacco
14.698259	33.118607	foliage
-14.5567045	44.53118	happening
-17.38527	4.614302	gross
-14.643683	37.26718	credentials
45.930294	-8.969004	OR
-17.405764	-2.3455935	appeared
8.708248	42.20558	splashed
53.324383	15.563525	under
50.29093	-8.701335	opened
1.1324564	23.101328	shakes
18.904253	26.00886	cloud
-17.914743	-54.81491	apron
-18.653683	-52.644604	working
48.91722	-3.1183813	saying
-40.56657	-21.058338	army
-6.596944	-51.050076	performing
40.187492	-18.694818	times
-18.324236	-9.037407	principal
8.923233	41.21752	ferry
-7.9585266	7.1715183	explanation
-16.918718	42.0663	seas
40.745716	-25.249537	seeing
33.80803	-26.171228	beg
-2.5621169	-54.14115	merchant
-4.964004	-55.732407	heap
-37.936535	-21.706444	wealth
3.4751008	35.46235	pitchers
-15.248507	3.9754758	unlocked
-20.852428	-6.105424	Today
-3.2012115	-8.16328	reports
-37.57534	-20.870827	thick
-7.8130674	-53.03647	reel
-3.3012319	56.87219	sprint
-3.9446118	-10.247033	Show
-28.781885	-24.820911	wooden
-0.34822387	54.573917	tenderly
-0.32911938	-54.482124	costly
