Summary Level;State Code (FIPS);State;County Code (FIPS);County Subdivision Code (FIPS);Place Code (FIPS);Consolidtated City Code (FIPS);Area Name (including legal/statistical area description)
050;01;Alabama;001;00000;00000;00000;Autauga County
050;01;Alabama;003;00000;00000;00000;Baldwin County
050;01;Alabama;005;00000;00000;00000;Barbour County
050;01;Alabama;007;00000;00000;00000;Bibb County
050;01;Alabama;009;00000;00000;00000;Blount County
050;01;Alabama;011;00000;00000;00000;Bullock County
050;01;Alabama;013;00000;00000;00000;Butler County
050;01;Alabama;015;00000;00000;00000;Calhoun County
050;01;Alabama;017;00000;00000;00000;Chambers County
050;01;Alabama;019;00000;00000;00000;Cherokee County
050;01;Alabama;021;00000;00000;00000;Chilton County
050;01;Alabama;023;00000;00000;00000;Choctaw County
050;01;Alabama;025;00000;00000;00000;Clarke County
050;01;Alabama;027;00000;00000;00000;Clay County
050;01;Alabama;029;00000;00000;00000;Cleburne County
050;01;Alabama;031;00000;00000;00000;Coffee County
050;01;Alabama;033;00000;00000;00000;Colbert County
050;01;Alabama;035;00000;00000;00000;Conecuh County
050;01;Alabama;037;00000;00000;00000;Coosa County
050;01;Alabama;039;00000;00000;00000;Covington County
050;01;Alabama;041;00000;00000;00000;Crenshaw County
050;01;Alabama;043;00000;00000;00000;Cullman County
050;01;Alabama;045;00000;00000;00000;Dale County
050;01;Alabama;047;00000;00000;00000;Dallas County
050;01;Alabama;049;00000;00000;00000;DeKalb County
050;01;Alabama;051;00000;00000;00000;Elmore County
050;01;Alabama;053;00000;00000;00000;Escambia County
050;01;Alabama;055;00000;00000;00000;Etowah County
050;01;Alabama;057;00000;00000;00000;Fayette County
050;01;Alabama;059;00000;00000;00000;Franklin County
050;01;Alabama;061;00000;00000;00000;Geneva County
050;01;Alabama;063;00000;00000;00000;Greene County
050;01;Alabama;065;00000;00000;00000;Hale County
050;01;Alabama;067;00000;00000;00000;Henry County
050;01;Alabama;069;00000;00000;00000;Houston County
050;01;Alabama;071;00000;00000;00000;Jackson County
050;01;Alabama;073;00000;00000;00000;Jefferson County
050;01;Alabama;075;00000;00000;00000;Lamar County
050;01;Alabama;077;00000;00000;00000;Lauderdale County
050;01;Alabama;079;00000;00000;00000;Lawrence County
050;01;Alabama;081;00000;00000;00000;Lee County
050;01;Alabama;083;00000;00000;00000;Limestone County
050;01;Alabama;085;00000;00000;00000;Lowndes County
050;01;Alabama;087;00000;00000;00000;Macon County
050;01;Alabama;089;00000;00000;00000;Madison County
050;01;Alabama;091;00000;00000;00000;Marengo County
050;01;Alabama;093;00000;00000;00000;Marion County
050;01;Alabama;095;00000;00000;00000;Marshall County
050;01;Alabama;097;00000;00000;00000;Mobile County
050;01;Alabama;099;00000;00000;00000;Monroe County
050;01;Alabama;101;00000;00000;00000;Montgomery County
050;01;Alabama;103;00000;00000;00000;Morgan County
050;01;Alabama;105;00000;00000;00000;Perry County
050;01;Alabama;107;00000;00000;00000;Pickens County
050;01;Alabama;109;00000;00000;00000;Pike County
050;01;Alabama;111;00000;00000;00000;Randolph County
050;01;Alabama;113;00000;00000;00000;Russell County
050;01;Alabama;115;00000;00000;00000;St. Clair County
050;01;Alabama;117;00000;00000;00000;Shelby County
050;01;Alabama;119;00000;00000;00000;Sumter County
050;01;Alabama;121;00000;00000;00000;Talladega County
050;01;Alabama;123;00000;00000;00000;Tallapoosa County
050;01;Alabama;125;00000;00000;00000;Tuscaloosa County
050;01;Alabama;127;00000;00000;00000;Walker County
050;01;Alabama;129;00000;00000;00000;Washington County
050;01;Alabama;131;00000;00000;00000;Wilcox County
050;01;Alabama;133;00000;00000;00000;Winston County
050;02;Alaska;013;00000;00000;00000;Aleutians East Borough
050;02;Alaska;016;00000;00000;00000;Aleutians West Census Area
050;02;Alaska;020;00000;00000;00000;Anchorage Municipality
050;02;Alaska;050;00000;00000;00000;Bethel Census Area
050;02;Alaska;060;00000;00000;00000;Bristol Bay Borough
050;02;Alaska;068;00000;00000;00000;Denali Borough
050;02;Alaska;070;00000;00000;00000;Dillingham Census Area
050;02;Alaska;090;00000;00000;00000;Fairbanks North Star Borough
050;02;Alaska;100;00000;00000;00000;Haines Borough
050;02;Alaska;105;00000;00000;00000;Hoonah-Angoon Census Area
050;02;Alaska;110;00000;00000;00000;Juneau City and Borough
050;02;Alaska;122;00000;00000;00000;Kenai Peninsula Borough
050;02;Alaska;130;00000;00000;00000;Ketchikan Gateway Borough
050;02;Alaska;150;00000;00000;00000;Kodiak Island Borough
050;02;Alaska;158;00000;00000;00000;Kusilvak Census Area
050;02;Alaska;164;00000;00000;00000;Lake and Peninsula Borough
050;02;Alaska;170;00000;00000;00000;Matanuska-Susitna Borough
050;02;Alaska;180;00000;00000;00000;Nome Census Area
050;02;Alaska;185;00000;00000;00000;North Slope Borough
050;02;Alaska;188;00000;00000;00000;Northwest Arctic Borough
050;02;Alaska;195;00000;00000;00000;Petersburg Borough
050;02;Alaska;198;00000;00000;00000;Prince of Wales-Hyder Census Area
050;02;Alaska;220;00000;00000;00000;Sitka City and Borough
050;02;Alaska;230;00000;00000;00000;Skagway Municipality
050;02;Alaska;240;00000;00000;00000;Southeast Fairbanks Census Area
050;02;Alaska;261;00000;00000;00000;Valdez-Cordova Census Area
050;02;Alaska;275;00000;00000;00000;Wrangell City and Borough
050;02;Alaska;282;00000;00000;00000;Yakutat City and Borough
050;02;Alaska;290;00000;00000;00000;Yukon-Koyukuk Census Area
050;04;Arizona;001;00000;00000;00000;Apache County
050;04;Arizona;003;00000;00000;00000;Cochise County
050;04;Arizona;005;00000;00000;00000;Coconino County
050;04;Arizona;007;00000;00000;00000;Gila County
050;04;Arizona;009;00000;00000;00000;Graham County
050;04;Arizona;011;00000;00000;00000;Greenlee County
050;04;Arizona;012;00000;00000;00000;La Paz County
050;04;Arizona;013;00000;00000;00000;Maricopa County
050;04;Arizona;015;00000;00000;00000;Mohave County
050;04;Arizona;017;00000;00000;00000;Navajo County
050;04;Arizona;019;00000;00000;00000;Pima County
050;04;Arizona;021;00000;00000;00000;Pinal County
050;04;Arizona;023;00000;00000;00000;Santa Cruz County
050;04;Arizona;025;00000;00000;00000;Yavapai County
050;04;Arizona;027;00000;00000;00000;Yuma County
050;05;Arkansas;001;00000;00000;00000;Arkansas County
050;05;Arkansas;003;00000;00000;00000;Ashley County
050;05;Arkansas;005;00000;00000;00000;Baxter County
050;05;Arkansas;007;00000;00000;00000;Benton County
050;05;Arkansas;009;00000;00000;00000;Boone County
050;05;Arkansas;011;00000;00000;00000;Bradley County
050;05;Arkansas;013;00000;00000;00000;Calhoun County
050;05;Arkansas;015;00000;00000;00000;Carroll County
050;05;Arkansas;017;00000;00000;00000;Chicot County
050;05;Arkansas;019;00000;00000;00000;Clark County
050;05;Arkansas;021;00000;00000;00000;Clay County
050;05;Arkansas;023;00000;00000;00000;Cleburne County
050;05;Arkansas;025;00000;00000;00000;Cleveland County
050;05;Arkansas;027;00000;00000;00000;Columbia County
050;05;Arkansas;029;00000;00000;00000;Conway County
050;05;Arkansas;031;00000;00000;00000;Craighead County
050;05;Arkansas;033;00000;00000;00000;Crawford County
050;05;Arkansas;035;00000;00000;00000;Crittenden County
050;05;Arkansas;037;00000;00000;00000;Cross County
050;05;Arkansas;039;00000;00000;00000;Dallas County
050;05;Arkansas;041;00000;00000;00000;Desha County
050;05;Arkansas;043;00000;00000;00000;Drew County
050;05;Arkansas;045;00000;00000;00000;Faulkner County
050;05;Arkansas;047;00000;00000;00000;Franklin County
050;05;Arkansas;049;00000;00000;00000;Fulton County
050;05;Arkansas;051;00000;00000;00000;Garland County
050;05;Arkansas;053;00000;00000;00000;Grant County
